Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Output
44,42,49,23,17,18,20,26,0
44,37,45,24,15,19,21,24,0
44,39,44,24,17,17,23,25,0
44,40,44,22,18,17,23,26,0
36,36,37,21,20,17,21,23,0
34,37,38,22,21,18,22,24,0
34,39,43,21,22,18,21,26,0
31,34,43,20,22,19,20,26,0
36,37,43,19,20,20,21,28,0
34,40,42,20,18,18,20,27,0
33,40,36,19,17,18,20,27,0
35,39,21,18,18,18,20,26,0
37,39,52,19,18,18,18,24,0
36,41,56,20,19,19,18,21,0
35,37,58,20,20,19,18,20,0
38,35,60,19,21,19,18,20,0
34,35,61,23,21,20,17,18,0
33,37,39,24,22,19,19,20,0
29,32,35,22,21,21,19,20,0
27,38,32,22,20,20,19,21,0
24,40,29,24,20,21,19,20,0
23,41,26,24,19,20,21,21,0
26,39,24,23,19,21,20,22,0
29,45,28,24,21,19,20,23,0
29,39,27,25,23,21,20,22,0
29,39,30,23,22,21,18,23,0
31,37,32,20,23,19,17,23,0
27,42,33,21,21,19,20,23,0
25,35,31,20,21,18,20,22,0
31,37,30,18,21,19,22,25,0
35,45,27,19,21,18,22,25,0
36,43,29,20,21,21,22,27,0
38,42,28,20,21,20,22,26,0
40,40,28,21,20,21,24,28,0
41,47,29,20,20,20,23,29,0
42,38,28,21,19,20,23,28,0
39,39,27,20,17,20,25,28,0
38,37,29,20,17,21,23,28,0
38,39,29,20,18,21,22,29,0
32,27,30,22,16,21,21,25,0
27,30,32,21,16,21,24,27,0
31,32,32,22,16,19,21,27,0
32,33,33,22,16,18,23,28,0
30,36,32,21,15,17,24,24,0
32,37,30,20,17,15,26,25,0
33,41,29,23,18,18,26,22,0
30,40,26,21,18,20,27,23,0
29,39,23,22,19,19,26,23,0
29,40,25,22,19,18,23,24,0
29,40,26,22,18,20,21,24,0
31,35,24,20,18,19,19,26,0
32,37,25,19,18,19,16,27,0
31,38,26,17,18,22,17,27,0
33,35,24,18,17,23,21,29,0
35,36,25,18,18,23,21,28,0
38,44,27,18,17,20,21,28,0
38,46,26,19,18,21,21,26,0
37,44,27,20,18,18,20,26,0
38,47,27,19,18,17,17,25,0
43,47,26,19,18,18,16,28,0
40,39,23,18,18,19,19,27,0
37,40,31,19,19,17,19,27,0
38,40,29,19,18,19,20,28,0
39,39,29,19,19,19,19,28,0
34,42,31,20,20,20,20,26,0
31,45,30,21,20,19,19,24,0
34,39,26,19,20,22,20,25,0
32,38,26,20,21,21,20,24,0
32,39,28,21,20,22,22,25,0
27,38,26,24,19,21,22,24,0
32,36,27,23,19,20,23,25,0
29,38,24,23,18,19,20,23,0
33,42,23,23,18,18,21,24,0
34,40,22,21,18,19,20,24,0
35,37,25,18,21,20,20,24,0
33,36,25,20,20,20,20,24,0
38,37,26,20,21,21,21,24,0
38,33,29,21,21,20,21,25,0
38,33,28,21,21,20,21,24,0
38,37,26,23,20,20,21,24,0
40,39,31,22,21,19,20,26,0
45,37,31,23,22,18,23,29,0
43,38,30,22,21,18,23,26,0
41,37,29,23,21,19,24,26,0
41,34,29,21,20,19,24,26,0
43,33,26,21,19,19,22,24,0
34,42,24,20,19,20,21,22,0
35,42,27,20,20,20,20,25,0
36,44,30,19,19,20,16,24,0
38,45,30,20,19,19,18,26,0
37,43,27,19,19,18,18,24,0
36,35,27,20,19,19,20,24,0
35,34,23,19,19,17,20,23,0
32,30,19,18,18,18,22,21,0
31,28,19,19,19,18,21,22,0
34,30,20,19,21,19,23,26,0
34,29,31,18,20,19,20,27,0
33,36,41,20,19,19,21,27,0
32,36,47,25,21,21,20,28,0
31,38,53,24,20,20,20,25,0
24,37,54,25,19,22,20,23,0
23,35,50,26,19,21,20,24,0
25,33,43,25,22,22,22,23,0
25,33,37,22,21,20,22,22,0
26,31,37,21,21,20,22,23,0
34,30,47,21,22,19,22,23,0
34,34,52,20,20,19,23,21,0
35,27,55,19,18,17,22,23,0
37,26,57,18,20,17,21,24,0
36,27,57,19,19,17,19,23,0
33,33,49,18,19,18,20,23,0
34,30,46,18,20,18,20,26,0
32,30,41,20,21,20,19,24,0
30,33,45,22,19,19,20,25,0
33,37,44,24,19,20,24,25,0
27,33,55,25,19,20,25,26,0
30,34,55,24,18,20,25,22,0
32,36,56,23,17,19,25,24,0
31,35,54,21,18,20,24,24,0
29,30,63,20,19,20,20,23,0
38,33,58,19,20,18,21,26,0
34,34,57,18,21,18,21,27,0
33,34,57,19,22,19,24,26,0
34,34,56,20,20,18,25,27,0
45,45,43,21,21,19,25,32,0
39,42,41,22,23,19,22,28,0
44,44,47,25,22,18,23,30,0
43,43,45,24,21,15,19,29,0
45,41,56,25,23,17,18,31,0
38,37,60,25,22,17,19,27,0
41,38,58,25,18,17,22,29,0
41,35,53,22,20,19,22,26,0
40,35,56,25,21,20,22,28,0
39,36,49,26,19,18,25,28,0
35,36,52,23,18,20,24,28,0
32,35,52,24,20,19,23,29,0
27,36,54,25,19,19,23,30,0
31,36,53,21,18,19,27,31,0
31,33,48,20,20,19,26,28,0
30,27,40,21,21,19,25,29,0
30,25,38,21,19,20,26,25,0
36,31,38,19,19,20,27,27,0
36,32,51,18,20,20,23,25,0
34,33,57,18,19,20,21,25,0
37,35,64,19,18,19,23,26,0
36,36,66,19,21,20,23,26,0
33,30,65,19,20,20,23,24,0
31,31,56,20,19,22,23,23,0
32,30,48,19,18,23,25,24,0
27,28,36,21,19,22,24,21,0
29,32,33,20,18,21,24,24,0
29,33,58,21,18,22,22,26,0
29,32,63,22,18,21,21,28,0
30,33,63,22,21,21,19,28,0
33,38,63,26,20,21,19,31,0
31,36,64,27,20,22,19,30,0
35,38,49,27,20,19,20,30,0
34,38,40,26,21,17,20,29,0
34,38,60,27,20,18,19,29,0
32,36,62,22,20,19,19,25,0
35,33,71,21,19,17,19,24,0
28,34,69,22,19,19,18,23,0
26,33,82,22,20,19,17,23,0
